PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
2022/12/12 14:19,518220,0,סוכרה דיאט 100 יח.,מתוק וקל בעמ,,,"י""ח",100,"י""ח",0,1,23.90,0.24,0,1,,
2023/08/21 12:15,7290000518251,1,מתוק וקל זהב 100 שקיות,מתוק וקל בעמ,,,"י""ח",100,"י""ח",0,1,10.90,0.11,0,1,,
2022/06/23 10:59,521008,0,יין סגל אדום יבש,טמפו משקאות בעמ,,,"י""ח",7.50,"ל 100 מ""ל",0,1,21.90,2.88,1,1,,
2022/06/23 10:59,521015,0,יין  סגל לבן,טמפו משקאות בעמ,,,"י""ח",7.50,"ל 100 מ""ל",0,1,21.90,2.88,1,1,,
2022/06/23 10:59,521022,0,יין סגל לבן חצי יבש,טמפו משקאות בעמ,,,"י""ח",7.50,"ל 100 מ""ל",0,1,21.90,2.88,1,1,,
2023/08/21 12:16,7290000521411,1,מרום גליל סינגל מרלו,טמפו משקאות בעמ,,,"י""ח",7.50,"ל 100 מ""ל",0,1,34.90,4.61,1,1,,
2021/12/07 15:40,7290000523125,1,מלח ים יבש הארץ  250  ג,"סוגת תעשיות בע""מ",,,"י""ח",2.50,ל 100 גרם,0,1,5.40,2.16,0,1,,
2021/12/07 15:40,7290000523224,1,מלח ים יבש  הארץ 500 ג,"סוגת תעשיות בע""מ",,,"י""ח",5,ל 100 גרם,0,1,7.90,1.58,0,1,,
2023/08/21 12:16,7290000523514,1,מלח 250 ג  בקבוק הארץ,"סוגת תעשיות בע""מ",,,"י""ח",2.50,ל 100 גרם,0,1,9.90,3.96,1,1,,
2021/12/07 15:40,523804,0,"מלח עדין 1 ק""ג צנצנת הארץ","סוגת תעשיות בע""מ",,,"י""ח",1,"ק""ג",0,1,6.90,6.90,0,1,,
2021/12/07 15:40,523811,0,"מלח גס 1 ק""ג צנצנת הארץ","סוגת תעשיות בע""מ",,,"י""ח",1,"ק""ג",0,1,6.90,6.90,0,1,,
2023/07/18 08:04,7290000525969,1,פרימור תפוזים 1 ליטר,"שטראוס גרופ ***בע""מ",,,"י""ח",1,ליטר,0,1,15.20,15.20,0,1,,
2023/01/18 11:00,530024,0,תה מעושן רחב זוגלובק,"זוגלובק שיווק בע""מ",,,"ק""ג",10,ל 100 גרם,1,1,44.90,4.49,1,1,,
2022/08/14 10:59,530031,0,פיין סלמי זוגלובק,"זוגלובק שיווק בע""מ",,,"י""ח",10,ל 100 גרם,1,1,55.20,5.52,1,1,,
2023/01/18 11:00,7290000530048,1,סלמי פפרוני זוגלובק,"זוגלובק שיווק בע""מ",,,"י""ח",10,ל 100 גרם,1,1,55.20,5.52,1,1,,
2023/06/22 13:54,530062,0,מעושן איטלקי]זוגלובק[,"זוגלובק שיווק בע""מ",,,"ק""ג",1,"י""ח",1,1,80,80,1,1,,
2023/02/12 09:19,7290000530109,1,זוג קבנוס בואקום,"זוגלובק שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,27.90,6.98,0,1,,
2023/07/06 16:24,7290000530116,1,נקניק בשן זוגלובק,"זוגלובק שיווק בע""מ",,,"י""ח",7,ל 100 גרם,0,1,24.90,3.56,1,1,,
2023/06/22 13:54,7290000530178,1,קוניאק זוגלובק שקילה,"זוגלובק שיווק בע""מ",,,"י""ח",10,ל 100 גרם,1,1,83,8.30,1,1,,
2023/01/18 11:00,7290000530192,1,סרבלד זוגלובק,"זוגלובק שיווק בע""מ",,,"ק""ג",1,ל 100 גרם,1,1,129,129,1,1,,
2022/09/05 03:01,7290000530260,1,מרטדלה רחב זוגלובק,"זוגלובק שיווק בע""מ",,,"ק""ג",10,ל 100 גרם,1,1,37.20,3.72,1,1,,
2023/06/22 13:54,7290000530291,1,נקניק מבשר הודו,"זוגלובק שיווק בע""מ",,,"י""ח",8,ל 100 גרם,0,1,16.90,2.11,1,1,,
2023/06/20 16:33,7290000530369,1,גולן-חזה מעושן}שקילה{,"זוגלובק שיווק בע""מ",,,"ק""ג",1,,1,1,85,85,1,1,,
2023/07/23 08:05,7290000530413,1,המבורגר זהב 400,"זוגלובק שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,19.90,4.98,0,1,,
2023/06/20 16:33,7290000530444,1,כתף בקר מעושן,"זוגלובק שיווק בע""מ",,,"ק""ג",1,,1,1,109,109,1,1,,
2023/06/22 13:54,7290000530468,1,"וינר  טרי 1 ק""ג זוגלובק","זוגלובק שיווק בע""מ",,,"י""ח",1,"ק""ג",0,1,24.90,24.90,1,1,,
2023/07/06 16:24,7290000530703,1,מארז פסטרמ/חרמון+תה מעושן 800 ג` זוגלו,"זוגלובק שיווק בע""מ",,,"י""ח",8,ל 100 גרם,0,1,27.90,3.49,1,1,,
2023/06/20 16:33,7290000531410,1,.פסטרממיה בדבש זוגלובק,"זוגלובק שיווק בע""מ",,,"ק""ג",1,,1,1,85,85,1,1,,
2023/07/23 08:05,7290000531601,1,סטייק בורגר 400 גרם,"זוגלובק שיווק בע""מ",,,"י""ח",4,ל 100 גרם,0,1,19.90,4.98,0,1,,
